"","team_number","event","match_number","mobility","end_of_auto_status","auto_hybrid_cubes","auto_mid_cubes","auto_high_cubes","auto_hybrid_cones","auto_mid_cones","auto_high_cones","teleop_hybrid_cubes","teleop_mid_cubes","teleop_high_cubes","teleop_hybrid_cones","teleop_mid_cones","teleop_high_cones","endgame_status","total_auto_points","total_teleop_points","total_endgame_points","won_match"
"1",4089,"wasno",1,TRUE,"Engaged",0,0,0,1,0,0,0,0,0,0,0,0,"Engaged",18,0,10,FALSE
"2",2910,"wasno",1,TRUE,"Engaged",0,0,0,0,0,1,0,0,0,0,0,4,"Docked",21,20,6,TRUE
"3",3268,"wasno",1,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",0,0,0,TRUE
"4",3049,"wasno",2,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Docked",0,0,6,FALSE
"5",1899,"wasno",2,FALSE,"Not Docked",0,0,0,0,0,0,4,0,0,1,0,0,"Docked",0,10,6,TRUE
"6",1778,"wasno",3,TRUE,"Not Docked",0,0,0,0,1,0,0,0,0,0,1,0,"Engaged",7,3,10,FALSE
"7",2097,"wasno",4,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",0,0,2,FALSE
"8",2930,"wasno",4,TRUE,"Engaged",0,0,0,0,0,1,0,1,1,0,2,1,"Engaged",21,19,10,TRUE
"9",2522,"wasno",5,TRUE,"Docked",0,0,0,0,0,0,0,0,1,3,0,0,"Engaged",11,11,10,FALSE
"10",4173,"wasno",5,TRUE,"Not Docked",1,0,0,0,0,0,1,1,0,0,0,0,"Engaged",6,5,10,FALSE
"11",4512,"wasno",6,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",0,0,0,TRUE
"12",2147,"wasno",6,TRUE,"Engaged",0,0,0,0,1,0,0,1,0,0,2,0,"Engaged",19,9,10,TRUE
"13",2928,"wasno",6,TRUE,"Not Docked",0,0,1,0,0,0,0,0,0,0,0,2,"Docked",9,10,6,FALSE
"14",4980,"wasno",7,TRUE,"Docked",0,1,0,0,0,0,0,0,0,0,0,0,"Not Parked",15,0,0,FALSE
"15",4915,"wasno",7,FALSE,"Not Docked",0,0,0,0,0,0,0,0,2,0,0,0,"Engaged",0,10,10,TRUE
"16",1318,"wasno",8,TRUE,"Engaged",0,0,1,0,0,0,1,1,0,0,0,0,"Engaged",21,5,10,FALSE
"17",3049,"wasno",8,TRUE,"Not Docked",1,0,0,0,0,0,0,0,0,0,0,2,"Parked",6,10,2,TRUE
"18",9036,"wasno",9,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",3,0,0,FALSE
"19",4681,"wasno",9,TRUE,"Not Docked",0,0,0,0,1,0,0,0,0,0,0,0,"Engaged",7,0,10,TRUE
"20",4911,"wasno",10,TRUE,"Engaged",0,0,0,1,0,0,0,0,0,0,2,0,"Engaged",18,6,10,TRUE
"21",3681,"wasno",10,FALSE,"Not Docked",0,0,0,0,0,0,0,0,1,1,0,0,"Not Parked",0,7,0,FALSE
"22",2147,"wasno",11,TRUE,"Engaged",0,0,0,0,1,0,1,0,0,3,1,0,"Parked",19,11,2,TRUE
"23",2903,"wasno",11,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",0,0,2,FALSE
"24",488,"wasno",12,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",0,0,0,TRUE
